"ID","Name","Type","rConc","Name","Type","Value","Quality","Call","Threshold","In Range","Out Range","Peak Ratio","Comments","treatment","Peak Call"
"S06-A47","mockhigh_106-6","Unknown",1,"SLCO3A1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S06-A48","mockhigh_106-6","Unknown",1,"SP1","Test",17.3318812580398,1,"Pass",0.0222468576534276,87.0355798555044,999,1,"ok","mock_high","Pass"
"S08-A01","mockhigh_108-8","Unknown",1,"ACTB","Test",14.5063347554615,0.936377022590483,"Pass",0.0222468576534276,90.862091444561,999,1,"ok","mock_high","Pass"
"S08-A02","mockhigh_108-8","Unknown",1,"SP3","Test",12.7959699582529,1,"Pass",0.0222468576534276,81.9154869675865,999,1,"ok","mock_high","Pass"
"S08-A03","mockhigh_108-8","Unknown",1,"SLCO2B1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S08-A04","mockhigh_108-8","Unknown",1,"RSU1","Test",13.8821375982594,1,"Pass",0.0222468576534276,83.2118593903072,999,1,"ok","mock_high","Pass"
"S08-A05","mockhigh_108-8","Unknown",1,"IL8","Test",13.3584521773879,1,"Pass",0.0222468576534276,83.0057458597816,999,1,"ok","mock_high","Pass"
"S08-A06","mockhigh_108-8","Unknown",1,"FZD7","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S08-A07","mockhigh_108-8","Unknown",1,"ABCC4","Test",15.3550505131214,1,"Pass",0.0222468576534276,80.8940624115499,999,1,"ok","mock_high","Pass"
"S08-A08","mockhigh_108-8","Unknown",1,"YBX1","Test",7.43317586274233,1,"Pass",0.0222468576534276,82.3372667617219,999,1,"ok","mock_high","Pass"
"S08-A09","mockhigh_108-8","Unknown",1,"PRKCB","Test",16.7533717537804,1,"Pass",0.0222468576534276,86.876435347449,999,1,"ok","mock_high","Pass"
"S08-A10","mockhigh_108-8","Unknown",1,"DDIT4","Test",18.5546207269285,1,"Pass",0.0222468576534276,87.95994969637,999,1,"ok","mock_high","Pass"
"S08-A11","mockhigh_108-8","Unknown",1,"ABCB1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S08-A12","mockhigh_108-8","Unknown",1,"LRP5","Test",17.8884636870393,1,"Pass",0.0222468576534276,84.1647649109508,999,1,"ok","mock_high","Pass"
"S08-A13","mockhigh_108-8","Unknown",1,"ABCC5","Test",16.2578620739906,1,"Pass",0.0222468576534276,84.4359223856182,999,1,"ok","mock_high","Pass"
"S08-A14","mockhigh_108-8","Unknown",1,"NFYA","Test",16.6454411715221,1,"Pass",0.0222468576534276,85.6840509916479,999,1,"ok","mock_high","Pass"
"S08-A15","mockhigh_108-8","Unknown",1,"CSK","Test",14.1983157542239,1,"Pass",0.0222468576534276,85.9490926824371,999,1,"ok","mock_high","Pass"
"S08-A16","mockhigh_108-8","Unknown",1,"SCML2","Test",15.8867637924697,1,"Pass",0.0222468576534276,81.9608076771409,999,1,"ok","mock_high","Pass"
"S08-A17","mockhigh_108-8","Unknown",1,"GAPDH","Test",8.50921896441196,1,"Pass",0.0222468576534276,87.6099215503979,999,1,"ok","mock_high","Pass"
"S08-A18","mockhigh_108-8","Unknown",1,"APCDD1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S08-A19","mockhigh_108-8","Unknown",1,"WNK1","Test",15.5499371686033,1,"Pass",0.0222468576534276,83.7891540545856,999,1,"ok","mock_high","Pass"
"S08-A20","mockhigh_108-8","Unknown",1,"IL18","Test",15.0267101260444,1,"Pass",0.0222468576534276,80.9928919976529,999,1,"ok","mock_high","Pass"
"S08-A21","mockhigh_108-8","Unknown",1,"GCLC","Test",14.3108829398242,1,"Pass",0.0222468576534276,83.5542284440677,999,1,"ok","mock_high","Pass"
"S08-A22","mockhigh_108-8","Unknown",1,"MAPK1","Test",13.9296295792161,1,"Pass",0.0222468576534276,85.2498152222333,999,1,"ok","mock_high","Pass"
"S08-A23","mockhigh_108-8","Unknown",1,"MYC","Test",9.97130011977115,1,"Pass",0.0222468576534276,79.9828924408031,999,1,"ok","mock_high","Pass"
"S08-A24","mockhigh_108-8","Unknown",1,"OCT4","Test",26.5173523362257,0,"Fail",0.0222468576534276,999,999,0,"miss","mock_high","Fail"
